target,feature,importance
target_games_played,prior_year_total_fantasy_points,0.10827236442806251
target_games_played,age,0.03897471425959213
target_games_played,prior_team_points_per_game,0.026981907269252793
target_games_played,career_games_missed_rate,0.02467891136120041
target_games_played,prior_year_fantasy_points_over_expected,0.0227285344081188
target_games_played,prior_team_offensive_plays_per_game,0.020782088827673427
target_games_played,prior_year_positional_finish,0.01918702257170726
target_games_played,career_points_per_game,0.018636935647016396
target_games_played,prior_year_snap_share_std_dev,0.01785001708325246
target_games_played,recent_usage_trend,0.017034838593003847
target_games_played,multi_year_weighted_points_per_game,0.016480588506598025
target_games_played,prior_year_expected_points_per_game,0.01583248368636796
target_games_played,recent_5_points_per_game,0.015791481217034227
target_games_played,multi_year_weighted_opportunities_per_game,0.015726813183300565
target_games_played,prior_year_usage_std_dev,0.015444947430754618
target_games_played,multi_year_weighted_snap_share,0.01528416393053701
target_games_played,prior_year_weekly_std_dev,0.01496432896759336
target_games_played,prior_year_coefficient_of_variation,0.01466950742090401
target_games_played,prior_year_snap_share,0.014510623732575577
target_games_played,prior_team_pass_rate,0.01416387749154239
target_games_played,recent_production_trend,0.013959330706727517
target_games_played,prior_team_rush_rate,0.013947326475454255
target_games_played,prior_year_expected_fantasy_points,0.013285580003299829
target_games_played,years_experience,0.012420738369851643
target_games_played,prior_year_points_per_game,0.012093112875978154
target_games_played,prior_year_receptions_per_game,0.011449200452131722
target_games_played,prior_year_targets_per_game,0.011386342637659915
target_games_played,prior_year_opportunities_per_game,0.009427704594075
target_games_played,prior_year_carries_per_game,0.008566652576411416
target_games_played,prior_year_games_missed_rate,0.008362750031292054
target_games_played,recent_5_opportunities_per_game,0.0076908085941630455
target_games_played,prior_year_games_missed,0.007635207593534276
target_games_played,prior_year_bust_week_rate,0.007046396876482589
target_games_played,career_seasons,0.006449713356201715
target_games_played,prior_year_games_played,0.005797775653800789
target_games_played,prior_year_boom_week_rate,0.004047410273653733
target_games_played,prior_year_injury_report_weeks,0.0035412814243414442
target_games_played,position_TE,0.0016072594628578664
target_games_played,prior_year_passing_attempts_per_game,0.001541938565261978
target_games_played,position_WR,0.0008138205820114848
target_games_played,position_RB,0.0005172571711187169
target_games_played,position_QB,6.89064105372853e-05
target_games_played,missingindicator_prior_year_expected_points_per_game,2.417546059767073e-05
target_games_played,missingindicator_prior_year_fantasy_points_over_expected,1.5547095132524026e-05
target_games_played,missingindicator_prior_year_expected_fantasy_points,6.477986317758912e-06
target_games_played,missingindicator_multi_year_weighted_snap_share,0.0
target_games_played,missingindicator_prior_year_snap_share,0.0
target_games_played,missingindicator_prior_year_snap_share_std_dev,0.0
