snapshot_date,fantasypros_id,player_name,normalized_name,position,team,market_rank,market_metric,player_id,match_method,join_status,has_projection
2026-07-31,11606,DeAndre Hopkins,deandrehopkins,WR,BAL,331.67,ecr,00-0030564,fantasypros_id,matched,True
2026-07-31,28067,Kevin Coleman Jr.,kevincoleman,WR,MIA,331.85,ecr,00-0041529,normalized_name_position,matched,False
2026-07-31,23837,Erick All Jr.,erickall,TE,CIN,331.94,ecr,00-0039814,fantasypros_id,matched,False
2026-07-31,8220,Las Vegas Raiders,lasvegasraiders,DST,LV,332.0,ecr,,unmatched,unmatched,False
2026-07-31,18561,Drew Sample,drewsample,TE,CIN,332.33,ecr,00-0035631,fantasypros_id,matched,True
2026-07-31,22953,Carson Beck,carsonbeck,QB,ARI,332.68,ecr,00-0041561,fantasypros_id,matched,False
2026-07-31,28757,Elijah Tau-Tolliver,elijahtautolliver,RB,BAL,333.0,ecr,,unmatched,unmatched,False
2026-07-31,22756,Charlie Kolar,charliekolar,TE,LAC,333.2,ecr,00-0038046,fantasypros_id,matched,True
2026-07-31,20126,Tutu Atwell,tutuatwell,WR,MIA,333.6,ecr,00-0036849,fantasypros_id,matched,True
2026-07-31,25394,Jaydn Ott,jaydnott,RB,KC,333.6,ecr,00-0040959,normalized_name_position,matched,False
2026-07-31,28132,Zavion Thomas,zavionthomas,WR,CHI,334.75,ecr,00-0041051,normalized_name_position,matched,False
2026-07-31,28424,Cyrus Allen,cyrusallen,WR,KC,335.0,ecr,00-0040890,normalized_name_position,matched,False
2026-07-31,20156,Mac Jones,macjones,QB,SF,335.14,ecr,00-0036972,fantasypros_id,matched,True
2026-07-31,27810,Jahdae Walker,jahdaewalker,WR,CHI,337.0,ecr,00-0040277,fantasypros_id,matched,True
2026-07-31,24347,Anthony Richardson Sr.,anthonyrichardson,QB,IND,337.27,ecr,00-0039164,fantasypros_id,matched,True
2026-07-31,19747,Nick Westbrook-Ikhine,nickwestbrookikhine,WR,IND,337.33,ecr,00-0036182,fantasypros_id,matched,True
2026-07-31,25967,Joe Milton III,joemilton,QB,DAL,337.88,ecr,00-0039398,fantasypros_id,matched,True
2026-07-31,27454,Jaylin Lane,jaylinlane,WR,WAS,339.19,ecr,00-0040164,fantasypros_id,matched,True
2026-07-31,11689,Zach Ertz,zachertz,TE,FA,339.43,ecr,00-0030061,fantasypros_id,matched,True
2026-07-31,17527,Noah Fant,noahfant,TE,NO,339.5,ecr,00-0035644,fantasypros_id,matched,True
2026-07-31,17115,Taysom Hill,taysomhill,TE,FA,339.67,ecr,00-0033357,fantasypros_id,matched,True
2026-07-31,22947,Dameon Pierce,dameonpierce,RB,PHI,340.7,ecr,00-0037258,fantasypros_id,matched,True
2026-07-31,26012,Malik Benson,malikbenson,WR,LV,341.0,ecr,00-0040894,normalized_name_position,matched,False
2026-07-31,25387,Roman Hemby,romanhemby,RB,LV,342.0,ecr,00-0040998,normalized_name_position,matched,False
2026-07-31,28079,Justin Joly,justinjoly,TE,DEN,342.44,ecr,00-0041077,fantasypros_id,matched,False
2026-07-31,19781,Justin Fields,justinfields,QB,KC,342.56,ecr,00-0036945,fantasypros_id,matched,True
2026-07-31,25322,Roschon Johnson,roschonjohnson,RB,CHI,343.0,ecr,00-0039021,fantasypros_id,matched,True
2026-07-31,25368,Ty Simpson,tysimpson,QB,LAR,343.18,ecr,SIM639376,normalized_name_position,matched,False
2026-07-31,25373,Riley Leonard,rileyleonard,QB,IND,343.67,ecr,00-0040206,fantasypros_id,matched,True
2026-07-31,20113,Dyami Brown,dyamibrown,WR,WAS,343.78,ecr,00-0036626,fantasypros_id,matched,True
2026-07-31,19483,Van Jefferson,vanjefferson,WR,WAS,344.5,ecr,00-0036415,fantasypros_id,matched,True
2026-07-31,15581,Austin Hooper,austinhooper,TE,ATL,345.0,ecr,00-0032392,fantasypros_id,matched,True
2026-07-31,17826,Tanner Hudson,tannerhudson,TE,CIN,346.0,ecr,00-0034613,fantasypros_id,matched,True
2026-07-31,28154,Eli Raridon,eliraridon,TE,NE,347.12,ecr,00-0041395,normalized_name_position,matched,False
2026-07-31,27144,Savion Williams,savionwilliams,WR,GB,347.38,ecr,00-0040009,fantasypros_id,matched,True
2026-07-31,18562,Gardner Minshew II,gardnerminshew,QB,ARI,347.8,ecr,00-0035289,fantasypros_id,matched,True
2026-07-31,13890,Marcus Mariota,marcusmariota,QB,WAS,350.0,ecr,00-0032268,fantasypros_id,matched,True
2026-07-31,16460,Jonnu Smith,jonnusmith,TE,FA,350.0,ecr,00-0033858,fantasypros_id,matched,True
2026-07-31,26310,Ben Sinnott,bensinnott,TE,WAS,350.36,ecr,00-0039912,fantasypros_id,matched,True
2026-07-31,18585,Greg Dortch,gregdortch,WR,DET,350.71,ecr,00-0035500,fantasypros_id,matched,True
2026-07-31,20114,Elijah Moore,elijahmoore,WR,PHI,351.0,ecr,00-0036980,fantasypros_id,matched,True
2026-07-31,28404,Robert Henry Jr.,roberthenry,RB,WAS,351.0,ecr,00-0041178,normalized_name_position,matched,False
2026-07-31,27222,Theo Wease Jr.,theowease,WR,MIA,351.5,ecr,00-0040311,fantasypros_id,matched,True
2026-07-31,9300,Joe Flacco,joeflacco,QB,CIN,351.63,ecr,00-0026158,fantasypros_id,matched,True
2026-07-31,27326,Jam Miller,jammiller,RB,NE,351.71,ecr,00-0041129,normalized_name_position,matched,False
2026-07-31,13891,Jameis Winston,jameiswinston,QB,NYG,352.0,ecr,00-0031503,fantasypros_id,matched,True
2026-07-31,25282,Luke Musgrave,lukemusgrave,TE,GB,353.67,ecr,00-0039144,fantasypros_id,matched,True
2026-07-31,17508,Durham Smythe,durhamsmythe,TE,BAL,354.0,ecr,00-0034798,fantasypros_id,matched,True
2026-07-31,18049,Will Dissly,willdissly,TE,FA,354.67,ecr,00-0034159,fantasypros_id,matched,True
2026-07-31,22795,Tommy Tremble,tommytremble,TE,CAR,354.91,ecr,00-0037005,fantasypros_id,matched,True
2026-07-31,28896,Roman Wilson,romanwilson,WR,PIT,355.5,ecr,00-0039739,normalized_name_position,matched,True
2026-07-31,8210,New York Jets,newyorkjets,DST,NYJ,356.0,ecr,,unmatched,unmatched,False
2026-07-31,28161,Sam Roush,samroush,TE,CHI,356.5,ecr,00-0041558,normalized_name_position,matched,False
2026-07-31,19268,Cam Akers,camakers,RB,FA,357.0,ecr,00-0036414,fantasypros_id,matched,True
2026-07-31,23135,Jordan Whittington,jordanwhittington,WR,LAR,359.1,ecr,00-0039751,fantasypros_id,matched,True
2026-07-31,28427,Nate Boerkircher,nateboerkircher,TE,JAC,359.5,ecr,00-0041503,normalized_name_position,matched,False
2026-07-31,15665,Demarcus Robinson,demarcusrobinson,WR,SF,359.75,ecr,00-0032775,fantasypros_id,matched,True
2026-07-31,28125,CJ Daniels,cjdaniels,WR,LAR,360.2,ecr,00-0041399,normalized_name_position,matched,False
2026-07-31,18487,Josh Oliver,josholiver,TE,MIN,360.2,ecr,00-0035249,fantasypros_id,matched,True
2026-07-31,27093,Deion Burks,deionburks,WR,IND,360.22,ecr,00-0041132,normalized_name_position,matched,False
2026-07-31,23167,Michael Trigg,michaeltrigg,TE,DAL,360.25,ecr,00-0040939,normalized_name_position,matched,False
2026-07-31,24361,Cade Klubnik,cadeklubnik,QB,NYJ,360.33,ecr,00-0041056,normalized_name_position,matched,False
2026-07-31,28157,Marlin Klein,marlinklein,TE,HOU,360.4,ecr,00-0041472,normalized_name_position,matched,False
2026-07-31,26343,Jared Wiley,jaredwiley,TE,KC,361.0,ecr,00-0039824,fantasypros_id,matched,True
2026-07-31,23341,Brock Wright,brockwright,TE,DET,362.5,ecr,00-0036754,fantasypros_id,matched,True
2026-07-31,23119,Elijah Higgins,elijahhiggins,TE,ARI,363.13,ecr,00-0039041,fantasypros_id,matched,True
2026-07-31,28450,Myles Montgomery,mylesmontgomery,RB,NE,363.2,ecr,00-0041323,normalized_name_position,matched,False
2026-07-31,25269,Cade Stover,cadestover,TE,HOU,363.33,ecr,00-0039359,fantasypros_id,matched,True
2026-07-31,27138,Mitchell Evans,mitchellevans,TE,CAR,363.5,ecr,00-0040187,fantasypros_id,matched,True
2026-07-31,25267,Luke Schoonmaker,lukeschoonmaker,TE,DAL,364.33,ecr,00-0038547,fantasypros_id,matched,True
2026-07-31,16579,Mo Alie-Cox,moaliecox,TE,IND,364.75,ecr,00-0033217,fantasypros_id,matched,True
2026-07-31,23680,Quinn Ewers,quinnewers,QB,MIA,365.0,ecr,00-0040234,fantasypros_id,matched,True
2026-07-31,25976,Damien Martinez,damienmartinez,RB,GB,368.5,ecr,00-0040651,fantasypros_id,matched,False
2026-07-31,24238,Daniel Bellinger,danielbellinger,TE,TEN,370.38,ecr,00-0038115,fantasypros_id,matched,True
2026-07-31,17598,Tyler Conklin,tylerconklin,TE,DET,371.0,ecr,00-0034270,fantasypros_id,matched,True
2026-07-31,27294,Jimmy Horn Jr.,jimmyhorn,WR,CAR,376.5,ecr,00-0040218,fantasypros_id,matched,True
2026-07-31,23093,Moliki Matavao,molikimatavao,TE,NO,377.5,ecr,00-0040244,fantasypros_id,matched,True
2026-07-31,19423,Adam Trautman,adamtrautman,TE,DEN,379.0,ecr,00-0036422,fantasypros_id,matched,True
2026-07-31,20082,Trey Lance,treylance,QB,LAC,381.5,ecr,00-0037012,fantasypros_id,matched,True
2026-07-31,17533,Jason Sanders,jasonsanders,K,NYJ,383.0,ecr,00-0034794,fantasypros_id,matched,False
2026-07-31,23039,Thomas Fidone II,thomasfidone,TE,NYG,383.33,ecr,00-0040225,fantasypros_id,matched,True
2026-07-31,22722,Kenny Pickett,kennypickett,QB,CAR,383.5,ecr,00-0038102,fantasypros_id,matched,True
2026-07-31,22956,Jermaine Burton,jermaineburton,WR,FA,388.5,ecr,00-0039810,fantasypros_id,matched,False
2026-07-31,17528,Marquez Valdes-Scantling,marquezvaldesscantling,WR,DAL,411.5,ecr,00-0034272,fantasypros_id,matched,True
2026-07-31,25289,Jacob Cowing,jacobcowing,WR,SF,415.5,ecr,00-0039365,fantasypros_id,matched,False
2026-07-31,27182,Tai Felton,taifelton,WR,MIN,417.0,ecr,00-0040154,fantasypros_id,matched,True
