model,mae,rmse,r2,rank_correlation
boosting_absolute,35.54149609481877,56.56271361911905,0.5816930154462271,0.7211328522838196
boosting_q50,35.54149609481877,56.56271361911905,0.5816930154462271,0.7211328522838196
ensemble_validation_weighted,36.93056454138525,55.45279916069716,0.5977605009381783,0.7212574255050922
ensemble_equal,37.003657630038056,55.44808096005011,0.5978234281447318,0.7210848261270819
boosting_huber,37.47873660688035,55.81506903890136,0.5923525676312899,0.7178212021618596
random_forest,38.18034724881256,56.09792714320368,0.5881504661295676,0.71261912391652
boosting_squared,38.58365543019584,56.0021874865027,0.5896281900315467,0.7143116205817106
