model,target,feature,importance
boosting_squared,target_total_fantasy_points,prior_year_fantasy_points_over_expected,3.865066428140434e-05
boosting_squared,target_total_fantasy_points,prior_year_games_missed,1.8279917724485637e-05
boosting_squared,target_total_fantasy_points,career_seasons,0.0
boosting_squared,target_total_fantasy_points,prior_year_games_played,0.0
boosting_squared,target_total_fantasy_points,prior_year_games_missed_rate,0.0
boosting_squared,target_total_fantasy_points,prior_year_bust_week_rate,0.0
boosting_squared,target_total_fantasy_points,prior_team_offensive_plays_per_game,0.0
boosting_squared,target_total_fantasy_points,missingindicator_prior_year_expected_fantasy_points,0.0
boosting_squared,target_total_fantasy_points,missingindicator_prior_year_expected_points_per_game,0.0
boosting_squared,target_total_fantasy_points,missingindicator_prior_year_fantasy_points_over_expected,0.0
boosting_squared,target_total_fantasy_points,missingindicator_prior_year_snap_share,0.0
boosting_squared,target_total_fantasy_points,missingindicator_prior_year_snap_share_std_dev,0.0
boosting_squared,target_total_fantasy_points,missingindicator_multi_year_weighted_snap_share,0.0
boosting_squared,target_total_fantasy_points,position_QB,0.0
boosting_squared,target_total_fantasy_points,position_RB,0.0
boosting_squared,target_total_fantasy_points,position_TE,0.0
boosting_squared,target_total_fantasy_points,position_WR,0.0
boosting_huber,target_total_fantasy_points,prior_year_total_fantasy_points,0.7310298270334209
boosting_huber,target_total_fantasy_points,recent_5_points_per_game,0.04336036365356861
boosting_huber,target_total_fantasy_points,multi_year_weighted_points_per_game,0.0426940524181777
boosting_huber,target_total_fantasy_points,age,0.0422636141119849
boosting_huber,target_total_fantasy_points,prior_year_replacement_adjusted_points,0.04142145475739813
boosting_huber,target_total_fantasy_points,career_points_per_game,0.014530695757104818
boosting_huber,target_total_fantasy_points,career_games_missed_rate,0.014138788841260665
boosting_huber,target_total_fantasy_points,prior_year_expected_fantasy_points,0.012927467725631261
boosting_huber,target_total_fantasy_points,multi_year_weighted_snap_share,0.008304707988419872
boosting_huber,target_total_fantasy_points,prior_year_points_per_game,0.00759676359736302
boosting_huber,target_total_fantasy_points,age_x_prior_missed_rate,0.006092722649157432
boosting_huber,target_total_fantasy_points,prior_team_points_per_game,0.0046599020760161
boosting_huber,target_total_fantasy_points,prior_year_weekly_std_dev,0.004628345144081722
